# F-006 Work's Over!! Recognition Result
# Date: 2026-02-23 19:28:39
# Image dir: /home/ogu4/git/shakeop/data/test_fixtures/works_over
# Threshold: 256
filename	result	confidence
negative/vlcsnap-2026-02-22-17h26m54s223.png	WORKS_OVER	0.5508
negative/vlcsnap-2026-02-22-17h27m34s123.png	WORKS_OVER	0.4922
negative/vlcsnap-2026-02-22-17h27m37s435.png	WORKS_OVER	0.5234
negative/vlcsnap-2026-02-22-17h28m42s432.png	WORKS_OVER	0.5195
negative/vlcsnap-2026-02-22-17h28m52s559.png	WORKS_OVER	0.5039
negative/vlcsnap-2026-02-22-17h28m59s940.png	WORKS_OVER	0.5703
negative/vlcsnap-2026-02-22-17h29m43s449.png	WORKS_OVER	0.4844
negative/vlcsnap-2026-02-22-17h29m53s085.png	WORKS_OVER	0.4766
negative/vlcsnap-2026-02-22-17h30m38s544.png	WORKS_OVER	0.5234
negative/vlcsnap-2026-02-22-17h30m55s826.png	WORKS_OVER	0.5352
negative/vlcsnap-2026-02-22-17h31m07s472.png	WORKS_OVER	0.4727
negative/vlcsnap-2026-02-22-17h31m15s471.png	WORKS_OVER	0.5000
negative/vlcsnap-2026-02-22-17h31m31s304.png	WORKS_OVER	0.5156
negative/vlcsnap-2026-02-22-17h31m44s536.png	WORKS_OVER	0.4648
negative/vlcsnap-2026-02-22-17h31m51s278.png	WORKS_OVER	0.4648
negative/vlcsnap-2026-02-22-17h32m14s895.png	WORKS_OVER	0.4922
negative/vlcsnap-2026-02-22-17h32m17s217.png	WORKS_OVER	0.4531
negative/vlcsnap-2026-02-22-17h34m19s107.png	WORKS_OVER	0.4727
negative/vlcsnap-2026-02-22-17h35m17s308.png	WORKS_OVER	0.5039
negative/vlcsnap-2026-02-22-17h35m19s893.png	WORKS_OVER	0.5117
negative/vlcsnap-2026-02-22-17h35m23s258.png	WORKS_OVER	0.5000
negative/vlcsnap-2026-02-22-17h35m27s066.png	WORKS_OVER	0.5000
negative/vlcsnap-2026-02-22-17h35m28s904.png	WORKS_OVER	0.5195
negative/vlcsnap-2026-02-22-17h35m30s594.png	WORKS_OVER	0.5117
negative/vlcsnap-2026-02-22-17h35m32s129.png	WORKS_OVER	0.5117
negative/vlcsnap-2026-02-22-17h35m33s846.png	WORKS_OVER	0.5078
negative/vlcsnap-2026-02-22-17h35m35s245.png	WORKS_OVER	0.5117
negative/vlcsnap-2026-02-22-17h36m07s995.png	WORKS_OVER	0.4688
negative/vlcsnap-2026-02-22-17h36m13s096.png	WORKS_OVER	0.4609
negative/vlcsnap-2026-02-22-17h36m27s090.png	WORKS_OVER	0.4570
negative/vlcsnap-2026-02-22-17h36m32s702.png	WORKS_OVER	0.5391
negative/vlcsnap-2026-02-22-17h36m40s380.png	WORKS_OVER	0.5117
negative/vlcsnap-2026-02-23-14h38m54s167.png	WORKS_OVER	0.5000
